"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"65900688";"90198893";"285969508";"285969549";;"Lux Visage Тушь для ресниц ''XXL Суперобъём. Эффект накладных ресниц 9 г.";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-07-08 08:48:41";"Тушь для ресниц";"'0.05";"'0.0";"0";"0";"34378";"0";"462.00";;;;;"0%"
"PT-00002281";"90302424";"0";"0";;"""Smoky Eyes"" Тушь Эффект накладных ресниц (Lux Visage)";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-07-08 10:30:54";"Тушь для ресниц";"'0.05";"'0.0";"0";"0";"0";"0";"407.00";;;;;"0%"
"65900682";"91655613";"294955356";"294955390";;"Lux Visage Тушь для ресниц ''XXL Длина+Объём+Изгиб 9 г.";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-07-12 12:19:19";"Тушь для ресниц";"'0.05";"'0.0";"0";"0";"764";"0";"462.00";;;"231.00";"https://wildberries.ru/catalog/11131419/detail.aspx";"0%"
"68462560";"92194175";"288007032";"288007079";;"""Belita Young"" BB крем для лица Photoshop-эффект 30 мл. (Белита)";"белита витекс";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-07-13 05:24:36";"Основа под макияж";"'0.10";"'0.0";"0";"0";"26530";"0";"267.00";;;;;"0%"
"AUT00000518";"92221436";"288023154";"288023164";;"Железный укрепитель для ногтей 11,6 мл (Relouis)";"Relouis";"Продается";"Показывается";;"Показывается";;"2021-07-13 06:39:03";"Лак для ногтей";"'0.04";"'0.1";"0";"0";"1078";"0";"318.00";;;"207.00";"https://wildberries.ru/catalog/16286354/detail.aspx";"0%"
"65900675";"92231087";"0";"0";;"Lux Visage Тушь KILLER";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-07-13 07:00:17";"Тушь для ресниц";"'0.21";"'0.0";"0";"0";"0";"0";"487.00";;;;;"0%"
"144025170";"92231088";"0";"0";;"Гель-фиксатор для бровей ""Brow fixing (Lux Visage)";"LUXVISAGE";"Не продается";"Скрыт";;"Скрыт";;"2021-07-13 07:00:17";"Тушь для бровей";"'0.05";"'0.0";"0";"0";"0";"0";"236.00";;;;;"0%"
"40468845";"92522535";"288363952";"288363983";;"""Баня, Сауна, Массаж"" Крем-масло для массажа Универсальное 100 мл (Витекс)";"белита витекс";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-07-13 09:21:36";"Массажное масло 18+";"'0.53";"'0.2";"0";"0";"145";"0";"212.00";;;;;"0%"
"279832601";"92930240";"288553496";"288553518";;"Подводка для глаз Vinyl INK ultra black Ультрачернаям 4 г. (Lux Visage)";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-07-13 12:30:42";"Подводка для глаз";"'0.06";"'0.0";"0";"0";"326";"0";"285.00";;;"181.00";"https://wildberries.ru/catalog/13145445/detail.aspx";"0%"
"40468619";"92979068";"292004981";"292005014";;"""Баня, Сауна, Массаж"" Крем массажный Антицеллюлитный 200 мл";"белита витекс";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-07-13 14:55:49";"Средство антицеллюлитное";"'0.38";"'0.2";"0";"0";"434";"0";"299.00";;;;;"0%"
